PCOD;PDIVISAO;PPRINCFORN;PREF;PMARCAMODE;PDESC;PUNIDADE;PVLUVEN3;PVLUVENDA;SALDO
740;"0128";44;"XML";"XML";"TUBO IND. RED. GALV. 2 CH-18";"KG";11.24;75.740;35.600
744;"0409";18;"XML";"XML";"TRENA DE BOLSO AMARELA 8 MT (T1-8) T";"PC";35.53;67.500;6.000
745;"0112";18;"XML";"XML";"PORCA SEXT. TRAVANTE 3/8 ZINC";"UNID";0.30;0.683;888.000
746;"0135";13;"";"";"CHAPA GALV. 18 (2 X 100)";"KG";12.84;22.000;173.226
748;"0210";44;"XML";"XML";"BICO CONT. 1.2MM SBME 125 PLUS26 MA";"PC";8.00;19.500;2.000
750;"0307";106;"";"";"FORMA DE DEGRAU";"PC";240.36;450.000;0
754;"0210";44;"XML";"XML";"BOCAL CONICO 12.5MM PLUS 24 XE 518";"PC";28.00;71.078;3.000
763;"0430";0;"XML";"XML";".DESINF.URCA 2L FLORAL";"UNID";4.49;9.103;0
771;"0125";44;"XML";"XML";"CHAPA PRETA (4.75) 3/16 (2X120)";"KG";6.52;21.470;0
779;"0557";18;"XML";"XML";"TORNEIRA";"PC";32.00;48.000;1.000
781;"9999";18;"XML";"XML";"TE 90 SOLDAVEL 20";"PC";1.44;781.862;1.000
783;"9999";18;"XML";"XML";"REGISTRO ESFERA 1/2";"PC";20.00;58.650;2.000
786;"0409";5;"XML";"XML";"TRENA BOSH LASER GLM30";"UNID";70.12;368.630;1.000
787;"0433";5;"XML";"XML";"ELETRODUTO PVC 32 MM CL A TIGRE";"PC";7.84;15.896;0
788;"0210";5;"XML";"XML";"ABRACADEIRA C/CHAVETA 1 INCA";"PC";1.00;2.027;0
795;"9999";2;"XML";"XML";"WHITE LUB SUPER 300ML";"UNID";14.22;21.570;2.000
797;"0430";2;"XML";"XML";"AVENTAL RASPA 1,00X0,60CM - RGN08";"UNID";32.44;85.155;7.000
798;"0136";15;"";"";"ARRUELA DE PRESSAO 3/4";"PC";0.00;0.000;26.000
799;"0136";18;"";"";"ARRUELA DE PRESSAO 1''";"PC";1.50;3.500;27.000
804;"0557";44;"XML";"XML";"CAIXA D AGUA POLIETILENO";"PC";950.00;1417.500;3.000
805;"0557";5;"XML";"XML";"TORN BOIA P/CAIXA DAGUA 1/2'' TIGRE";"PC";16.05;32.541;0
806;"9999";0;"XML";"XML";"PLAFON C/BONER BRANCO ILUME";"PC";5.16;10.880;0
807;"0409";5;"XML";"XML";"INTER 1 SIMP 10A+TOM 2P+T 20A XBC7301";"PC";9.05;16.430;3.000
811;"9999";0;"XML";"XML";"SIFAO AJUST MULTIUSO 66CM BRANCO PLENA";"PC";12.57;16.282;2.000
813;"9999";0;"XML";"XML";"VALVULA LAVAT BR VL3/S ASTRA";"PC";4.79;5.880;1.000
815;"0430";0;"XML";"XML";"FITA VEDA ROSCA 18MMX10M TIGRE";"PC";3.15;8.738;2.000
820;"0430";0;"XML";"XML";"ASSENTO SANITARIO DURATTI BRANCO LORENNZ";"PC";21.00;49.694;1.000
821;"0433";0;"XML";"XML";"PIA RESINA 0,85X0,45M FAMAS";"PC";65.44;132.679;0
837;"0431";0;"XML";"XML";"PANO DE CHAO";"UNID";4.10;5.454;3.000
840;"0431";0;"XML";"XML";"SACO P/LIXO FORTELIXO ROLO 30LT";"UNID";9.00;13.350;2.000
860;"0430";44;"XML";"XML";"ANCORA CHUMBADOR  3/8X80 C/ PR - C38080";"UNID";2.50;3.001;0
864;"0307";106;"";"";"ESCADA DE FOSSO DE ELEVADOR";"UNID";94.89;439.000;0
870;"9999";0;"XML";"XML";"CJ KDZ 220 GII60 1/3HP SP 2TX433 2BC1,5M SPEED";"UNID";445.00;525.121;0
877;"0125";13;"XML";"XML";"CHAPA PRETA (2.25) 13 (2X120)";"KG";4.37;6.340;191.460
888;"0430";0;"XML";"XML";"PASTA SUSP NEW L AZ 092709";"UNID";4.19;8.495;0
889;"0430";0;"XML";"XML";"CESTO P/ PAPEIS 173";"UNID";4.99;10.117;0
890;"9999";0;"XML";"XML";"LUVA VAQUETA PETROLEIRA";"PR";21.68;40.550;35.000
899;"0106";0;"XML";"XML";"PARAF.ALLEN CAB.CILIND.12X 80 CISER 108";"UNID";5.66;11.340;2.000
901;"9999";15;"XML";"XML";"PORCA SEXT.INOX  12MM CISER";"UNID";0.48;214.711;0
903;"0430";32;"XML";"XML";"FONTE ADVANCED";"UNID";150.00;152.062;1.000
905;"9999";44;"XML";"XML";"F1 MASTER PROTECTION SL SAE 15W40 1L";"UNID";39.00;58.500;1.000
906;"0409";23;"";"";"DIFUSOR DE GAS PLAST. 24 XC441";"PC";3.95;107.457;50.000
908;"0409";23;"";"";"BICO CONT. 0.8MM PLUS 15 XA 011";"PC";2.13;27.483;40.000
911;"0139";440;"XML";"XML";"TELA ONDULADA 1 FIO 12 1MT";"M";105.00;200.000;39.000
913;"0112";497;"XML";"XML";"DOBRADICA 5/8 PINO FIXO B";"UNID";0.80;2.300;696.000
923;"0307";106;"";"";"TRIPE PARA GUINCHO";"PC";610.28;2518.000;0
926;"0550";497;"XML";"XML";"CHVE HEXALOBULAR 9PC T10-T50 LONGA";"JOGO";29.57;44.360;0
928;"0112";49;"XML";"XML";"REFIL P/FILTRO RV 01 VELA REF-1686 LOREN";"UNID";148.00;222.000;2.000
931;"9999";0;"XML";"XML";"ARAME DE ACO INOX 1,200MM PB TREFINOX 4500ARAME DE";"UNID";186.90;378.938;0
932;"0456";0;"XML";"XML";"SENSOR DE DETEC. MIC. INFRAVERMELHO";"UNID";114.00;171.000;3.000
933;"9999";0;"XML";"XML";"SIRENE PIEZO SIR-115";"UNID";16.00;36.495;1.000
936;"9999";0;"XML";"XML";"CABO ALTA ISOLACAO 5,0MM FLEX BR 50M";"UNID";24.68;50.039;0
940;"9999";259;"XML";"XML";"RIPA MISTO 0,04X0,01 (64 MT)";"M3";70.40;4460.484;0
942;"0554";5;"XML";"XML";"CAIXA DE INSPECAO P/ ATERRAMENTO SHIN";"UNID";4.00;6.000;3.000
947;"0550";17;"XML";"XML";"PISTOLA PARA TUBO DE SILICONE TRAMONTINA";"PC";36.40;73.801;1.000
949;"0135";16;"XML";"XML";"CHAPA GALV. 22 (2 X 120)";"KG";9.46;28.000;301.056
952;"0102";17;"XML";"XML";"TINTA ESM 3,6LT MARFIM";"LT";16.56;112.960;0
958;"9999";0;"XML";"XML";"PRESILHA P/DISJUNTORES CEMAR";"PC";1.29;2.615;0
960;"0409";5;"XML";"XML";"FITA ISOLANTE 19MMX10M N";"PC";11.53;11.527;3.000
962;"9999";0;"XML";"XML";"ROLO FIO FLEX(CAB.) 2.50 AZ - SIL";"RL";82.21;166.680;0
968;"9999";0;"XML";"XML";"ROLO CABO RIGIDO 1 KV 10.00 AZ";"RL";379.98;770.407;0
978;"0106";15;"XML";"XML";"PARAFUSO SX S/P 1/4X3/4";"UNID";0.10;0.303;672.000
981;"9999";0;"XML";"XML";"BARRAMENTO NEUTRO BRN-QDETN 16/12 CEMAR";"UNID";18.70;206.074;1.000
986;"0554";49;"XML";"XML";"TOMADA EMB 2P+T 32A AZUL N-3246";"UNID";46.94;70.410;1.000
995;"9999";0;"XML";"XML";"ISOLADOR EPOXI PARALELO 16X35 1/4'";"UNID";5.46;11.070;0
998;"0106";15;"XML";"XML";"PARAF.FENDA MAQ.CAB.CHATA 5/32X1/2 CISER";"UNID";12.50;18.750;0
1000;"0225";5;"XML";"XML";"BROCA ACO RAP. 1/8";"UNID";3.06;9.585;11.000
1001;"9999";0;"XML";"XML";"BITS FENDA 25MM 4.5 BOSCH";"UNID";8.00;12.000;1.000
1002;"0316";106;"";"";"TAMPA P/ HIDRANTE 40 X 60";"UNID";88.59;300.000;0
1019;"0112";17;"XML";"XML";"BUCHA NYLON N-12";"PC";0.33;0.750;104.000
1049;"0230";3;"XML";"XML";"SERRA FITA SUL CORTE PERFECT 27 X 0,90 X 4/6 X 3,8";"PC";231.44;384.450;3.000
1050;"0557";5;"XML";"XML";"VEDA ROSCA ROBMAR TS 1141 78 G";"UNID";2.50;60.855;1.000
1058;"0550";388;"XML";"XML";"COSSINETE A/R BSP 1/2X2";"PC";108.00;218.969;1.000
1061;"0112";296;"XML";"XML";"FECHADURA P/MOVEIS FENDA E TRIANGULO";"PC";3.32;12.000;0
1063;"0409";440;"";"";"ELETRODO DE INOX";"KG";126.67;126.670;0.150
1069;"0225";2;"XML";"XML";"BROCA ACO RAP. 5/8";"UNID";98.97;148.455;2.000
1073;"0557";5;"XML";"XML";"ENGATE FLEX AMANCO 50CMX1/2";"UNID";28.90;43.350;2.000
1078;"0307";106;"";"";"CAIXA DE HIDRANTE SOBREPOR 90X60X17";"UNID";109.21;304.590;7.000
1082;"0210";15;"XML";"XML";"MANDRIL 1/2 X 20 HT";"UNID";60.00;90.000;1.000
1088;"0554";350;"XML";"XML";"CABO 06 VIAS (06X50)MULTICORES SOLIDO BR100M";"UNID";127.84;191.760;1.000
1099;"0550";2;"XML";"XML";"LIMA CHATA BASTARDA 10' - 07657BC NICHOLSON";"PC";22.53;111.512;2.000
1106;"0550";5;"XML";"XML";"ENXADA NORTE 2,5 L S/CABO";"PC";14.46;29.318;1.000
1110;"0550";5;"XML";"XML";"MARTELO DE UNHA POLIDO 27 ROBUST";"PC";28.15;46.820;2.000
1117;"0132";5;"XML";"XML";"TUBO GALV. RED. 3/4 CH14 (2,00)";"KG";8.29;22.500;1247.036
1118;"9999";0;"XML";"XML";"CIMENTO CIMPOR CP II-Z-32 (50KG)";"SC";1.22;3.007;24.000
1121;"0129";244;"";"";"PNEU 4.10/3.50-4";"UNID";2.00;4.060;7.000
1123;"0550";15;"";"";"PISTOLA PINT GRAV ECO21 BICO 1,30";"PC";150.97;162.199;1.000
1126;"9999";0;"XML";"XML";"CONECTOR BNC PARAFUSO COM MOLA";"UNID";1.85;3.629;48.000
1140;"0140";16;"XML";"XML";"CHAPA XADREZ (2,65) 12 (2X1,20)";"KG";8.85;28.780;942.350
1156;"0316";106;"";"";"TAMPA PARA ATERRAMENTO";"UNID";47.47;48.200;9.000
1159;"0410";420;"XML";"XML";"CHAVE-102 INTER.TECLA TRIP.30A/5CV MAR-GIRIUS";"UNID";46.50;96.732;5.000
1174;"0410";425;"XML";"XML";"TOCHA MIG SBME-235 3,00 MTS. S/RASPA OMEGA";"PC";720.00;1080.000;2.000
1178;"0135";108;"XML";"XML";"CHAPA GALV. 24 (2 X 120)";"KG";8.15;24.200;4639.183
1184;"0137";16;"XML";"XML";"TUBO GALV. QUAD. 25X25 CH18";"KG";9.48;19.350;28.180
1194;"9999";0;"XML";"XML";"FILTRO DE OLEO GOL/FOX/POLLO AT (MAHLE)";"UNID";25.00;30.412;2.000
1196;"9999";244;"XML";"XML";"OLEO MOTOR CARRO";"UNID";38.00;165.000;5.000
1200;"0410";2;"XML";"XML";"MICRO PISTOLA PLUS-24 XF571 OXIMIG";"UNID";230.00;283.849;6.000
1202;"0409";5;"XML";"XML";"JOELHO 90 ESGOTO 100";"UNID";6.27;9.405;2.000
1221;"0410";2;"XML";"XML";"ENGATE RAPIDO MACHO AR 1/4 1114A HALTBAR";"UNID";31.14;46.710;1.000
1232;"0453";18;"XML";"XML";"CA60 4,20 NERV RETO 12,0 M FX 2500 KG";"KG";8.85;15.765;5.488
1237;"0419";2;"XML";"XML";"CAPA CHUVA PVC FORRADA G CAPSEG";"UNID";25.00;36.495;3.000
1242;"9999";0;"XML";"XML";"ESC.CARVAO COD.XSE  81 A/B SCHUNK 720";"JOGO";18.25;22.525;8.000
1243;"0550";5;"XML";"XML";"ESQUADRO DE ALUMINIO 300 MM";"PC";75.08;78.342;4.000
1244;"0307";106;"";"";"FECHADORA P/MOVEIS 481 CR";"UNID";0.06;5.808;453.000
1245;"0112";444;"XML";"XML";"CURVA PATENTE SCH-40 R/L 90 1.1/4";"PEC";9.00;19.261;15.000
1248;"0112";2;"";"";"PORCA SEXT. 1''";"UNID";15.68;33.370;29974.000
1260;"0106";93;"XML";"XML";"PF.BROC FLANGEADO PHIL. ZINC. 4,2X13 PH2";"PC";0.10;0.101;50.000
1264;"0324";106;"";"";"CAIXA DE HIDRANTE 90X60X17 EMBUTIR";"UNID";112.03;285.000;0
1278;"0135";13;"";"";"CHAPA GALV. 20 (2 X 120)";"KG";9.59;23.000;898.511
1295;"0210";29;"XML";"XML";"CILINDRO 2 1/2 AP SCHULZ";"PC";232.00;348.000;1.000
1296;"9999";0;"XML";"XML";"CILINDRO 4 3/4";"PC";280.00;420.000;1.000
1301;"0210";29;"XML";"XML";"JOGO DE ANEIS 4 3/4";"JOGO";132.00;198.000;1.000
1302;"0210";29;"XML";"XML";"KIT JUNTA W700 2722";"PC";45.00;75.000;1.000
1303;"0210";29;"XML";"XML";"KIT MOLA E VALVULA W700 -20V / 25V 220";"UNID";88.00;132.000;1.000
1312;"0106";303;"XML";"XML";"PARAFUSO SX S/P 3/8 X 2";"UNID";0.45;1.059;1143.000
1313;"0157";52;"XML";"XML";"ROLAMENTO 6202";"UNID";9.78;9.900;1.000
1315;"0146";440;"";"";"BARRA RED. INOX  3/16";"MT";58.00;58.000;3.000
1323;"0550";106;"XML";"XML";"NIVEL ALUMINIO 12 30CM";"UNID";20.21;38.960;3.000
1324;"0550";402;"XML";"XML";"MARRETA C/CAB 1,0KG FORJADA";"UNID";33.36;19.400;1.000
1344;"0125";13;"XML";"XML";"CHAPA PRETA (4.75) 3/16 (6X120)";"KG";6.52;11.100;552.000
1348;"0132";5;"XML";"XML";"TUBO GALV. RED. 3/4 CH 16 (1,55)";"KG";11.45;69.575;62.420
1362;"0550";25;"XML";"XML";"ALICATE CORTE DIAG. 6 MAYLE";"UNID";27.79;37.305;11.000
1363;"0550";25;"XML";"XML";"ALICATE BICO 1/2 CANA 6 CURTO";"UNID";16.74;18.870;1.000
1367;"0550";25;"XML";"XML";"CHAVE BIELA 11MM IGUAL L";"UNID";33.91;15.750;1.000
1372;"0550";468;"XML";"XML";"CAMERA INFRA CFTV AHD 15M 3.6MM TUBULAR BRANCA DCR";"UNID";100.58;177.000;14.000
1377;"0210";2;"XML";"XML";"BICO CORTE A101 1,4MM MPD101-14 PLA";"UNID";25.00;31.500;5.000
1379;"0210";2;"XML";"XML";"GRANTOOLS ELETRODO TRIDENT PLASMA-100 PR0101";"PC";36.00;37.500;4.000
1385;"0220";15;"XML";"XML";"SILICONE 250G INCOLOR ORBI QUIMICA";"UNID";21.53;32.295;1.000
1390;"0307";106;"";"";"FUNIL METALICO";"UNID";172.70;435.570;0
1397;"0550";5;"XML";"XML";"ESTILETE EMBORRACHADO PROF.THOMPSON 18MM";"UNID";7.75;13.770;4.000
1398;"0550";5;"XML";"XML";"TALHADEIRA";"UNID";19.37;202.500;9.000
1400;"0550";5;"XML";"XML";"MARRETA C/CABO 500G";"PC";20.44;21.740;2.000
1414;"0132";5;"";"";"TUBO IND. RED. GALV. 1 CH-18";"KG";10.87;10.870;8.400
1420;"0419";2;"XML";"XML";"CAPACETE BRANCO PLASTCOR";"UNID";8.46;16.500;2.000
1441;"0550";501;"XML";"XML";"PUNCAO MA 35 DIAM. 22,0 MM";"PC";343.17;460.500;2.000
1473;"0550";0;"XML";"XML";"MATRIZ MA35 DIAM. 20,9 MM # 3/8'";"PEC";318.58;427.500;3.000
1476;"0127";0;"XML";"XML";"BARRA ROSCADA UNC 1/2 ZB";"UNID";15.36;64.830;1.000
1478;"9999";0;"XML";"XML";"JAQUETA/CONE P/CHUMBADOR 1/2 ANCORA";"UN";4.14;4.138;6.000
1481;"0112";15;"XML";"XML";"PORCA SEXT.INOX 1/2-13 UNC CISER";"UNID";0.02;2.097;6.000
1485;"0136";15;"XML";"XML";"ARRUELA ZINC. 12X4X2";"UNID";0.06;0.060;30.000
1487;"0232";2;"XML";"XML";"DISCO DE CORTE 4'' 1/2";"UNID";2.29;13.500;12.000
1497;"0147";521;"XML";"XML";"FECH.  310 L1 IND - CROMADO CCSD";"PC";11.50;17.250;96.000
1499;"0307";106;"";"";"EIXO PARA CARRO DE MAO";"UNID";2.12;30.000;0
1534;"0324";106;"";"";"CAIXA DE HIDRANTE 75X45X17 EMBUTIR";"UNID";98.12;240.000;1.000
1537;"0228";2;"XML";"XML";"DISCO FLAP 4.1/2 G80 (COMUN)";"UNID";9.00;12.000;1.000
1539;"0228";2;"XML";"XML";"DISCO FLAP 4.1/2 G40 (COMUN)";"UNID";10.38;27.270;124.000
1575;"9999";0;"XML";"XML";"OLEO MOTOR ELAION 5W40(ELAION)";"UNID";36.00;52.500;3.000
1584;"0123";16;"XML";"XML";"CANTONEIRA T 1 X 1/8";"KG";0.64;0.957;23.328
1598;"0225";497;"XML";"XML";"BROCA ACO RAP. 3/16";"UNID";2.83;58.035;19.000
1600;"0550";497;"XML";"XML";"JOGO DE MACHO 1/4' JG 2PC";"JOGO";77.36;28.590;1.000
1601;"0225";53;"XML";"XML";"BROCA ACO RAP. 1/4";"UNID";3.68;7.080;24.000
1609;"0307";106;"";"";"ESCADA P/ANDAIME";"UNID";127.94;428.650;1.000
1619;"0225";15;"XML";"XML";"BROCA SDS PLUS 12 X 160MM";"UNID";11.00;16.500;1.000
1626;"0136";15;"XML";"XML";"ARRUELA RED 18X6X1";"UNID";0.15;0.300;50.000
1637;"0307";106;"";"";"DIAGONAL X P/ ANDA DOBRAVEL";"UNID";40.70;60.650;40.000
1641;"0112";24;"";"";"*BORRACHA DE VEDACAO P/QUADRO";"M";0.00;0.000;2.500
1644;"0409";53;"XML";"XML";"TRENA DE BOLSO 5MT";"UNID";113.10;169.650;9.000
1653;"0125";13;"";"";"CHAPA PRETA (10.00) 3/8 (2X100)";"KG";9.16;9.500;15.680
1658;"0225";36;"";"";"BROCA ACO RAP. 1/2'";"UNID";59.00;65.000;42.000
1660;"0142";540;"XML";"XML";"COMPENSADO COMERCIAL 10MM 2,20X1,60";"M2";55.26;55.256;17.546
1664;"0419";444;"XML";"XML";"PROTETOR FACIAL INCOLOR 8'";"UNID";29.63;60.000;1.000
1673;"0430";28;"XML";"XML";"FITA ADES QUALITAPE TR 48X45";"UNID";4.32;4.323;10.000
1684;"0143";5;"";"";"TUBO GALV. RED. 1 CH 16 (1,55)";"KG";12.36;20.640;7.600
1685;"0430";17;"XML";"XML";"PILHA ALCALINA DURACELL12V P/ALARME";"PC";11.39;22.520;1.000
1703;"0316";106;"";"";"TAMPA E SOBRE TAMPA 60 X 70";"UNID";141.03;624.550;1.000
1714;"0456";15;"XML";"XML";"PLUGUE MACHO 10A 2P MAR-GIRIUS";"UNID";4.39;6.585;8.000
1718;"0106";54;"XML";"XML";"PARAF.SEXT.ROSCA SOBERBA 5/16X50";"UNID";0.63;0.800;66.000
1720;"9999";0;"XML";"XML";"LUVA PU FIO SINTETICO PRETA T.09 (G) CA.32034 SUPE";"PR";2.87;8.625;15.000
1724;"0410";559;"XML";"XML";"BARRA DE COBRE 34 5/8 MT1.800";"KG";177.36;266.040;1.590
1730;"0106";5;"XML";"XML";"CHUMBADOR CBA 3/8X2.1/2 C/PF";"UNID";2.89;4.335;16.000
1731;"0112";16;"XML";"XML";"ROLDANA ACO CAV ABER 50MM 2 V";"UNID";20.48;29.250;2.000
1732;"0550";567;"XML";"XML";"REBITADOR PREMIUM - PUMA AT 6015";"PC";692.00;1038.000;1.000
1737;"0232";5;"XML";"XML";"DISCO DE DESBASTE 4'' 1/2";"UNID";5.32;5.322;14.000
1739;"0112";437;"";"";"FERROLHO 500X2 ZINCADO";"UNID";1.57;3.200;87.000
1748;"0552";2;"XML";"XML";"MAQUINA DE SOLDA INVERSORA TIG 160K 220";"UNID";2200.00;3300.000;1.000
1750;"0112";290;"XML";"XML";"FLANGE/CANOPLA INOX 304 3X 1 1/2 POL.";"UNID";13.50;24.000;11.000
1761;"0231";36;"XML";"XML";"GALVANIZADOR A FRIO SPRAY ALUMINIO";"UNID";97.09;145.635;2.000
1763;"0228";5;"XML";"XML";"LIXA FERRO GR- 100";"FL";3.60;5.115;6.000
1764;"0456";0;"XML";"XML";"PLUGUE 2P+T 32A 220V N3276";"UNID";45.00;45.000;2.000
1766;"0419";2;"XML";"XML";"MASCARA SOLDA ADVANCED VF CARBOGRAF";"UNID";59.00;179.490;3.000
1775;"0307";106;"";"";"CARRO DE MAO C/ROL ESFERA (EXTRA)";"UNID";324.49;759.920;0
1779;"9999";0;"XML";"XML";"BUCHA NYLON N-06";"PC";0.06;0.063;25.000
1783;"9999";0;"XML";"XML";"OBTURADOR P/CAIXA ACOP KSOU/AS ASTRA";"PC";11.13;20.303;1.000
1788;"0323";53;"";"";"CAIXA C/DISPOSIT P/SELAG 50X50X20";"UNID";107.46;293.610;0
1799;"0329";53;"";"";"QUADRO DE MEDICAO CM 7 100X60X25";"UNID";251.88;794.080;0
1813;"9999";0;"XML";"XML";"ESQUADRO MAGNETICO 10KG";"PC";10.25;15.375;2.000
1815;"0550";260;"XML";"XML";"ESQUADRO MAGNETICO 30KG";"PC";25.72;38.580;2.000
1818;"0550";260;"XML";"XML";"ALIC PRESSAO 10&QUOT, CRV RETO";"PC";38.82;58.230;2.000
1819;"0220";260;"XML";"XML";"LIMA ROT CIL 12X25 HAST 6MM LAV0012";"PC";59.82;79.350;1.000
1872;"0137";5;"";"";"TUBO GALV. QUAD. 80X80 CH14";"KG";9.35;9.350;30.480
1880;"0545";2;"XML";"XML";"REGULADOR ARGONIO SM MOD 300";"PC";250.00;375.000;3.000
1888;"0112";5;"";"";"TARUGO 3/8";"UNID";1.61;2.060;22.000
1922;"0145";106;"";"";"TUBO CIRC. 304 DIAM. 38.1MM 1 1/2 ESP 1.5";"M";67.00;67.000;3.000
1926;"0307";106;"";"";"SUPORTE PARA CORRIMAO";"UNID";15.00;21.000;10.000
1933;"0456";5;"XML";"XML";"CABO PP 3X2.50 1KVA";"MT";7.66;1159.995;17.000
1936;"0126";16;"";"";"TUBO PATENTE 3'' (90.00) CH 2,65MM";"KG";8.99;15.000;65.034
1938;"0307";106;"";"";"VIGA METALICA V8 4.50 MT";"PC";236.91;570.660;46.000
1940;"0316";106;"";"";"TAMPA E SOBRE TAMPA 60 X 60";"UNID";138.32;410.800;0
1959;"0322";53;"";"";"CAIXA DE TELEFONE 60X60X12 EMBUTIR";"UNID";78.33;220.430;5.000
1989;"0154";69;"XML";"XML";"CHAPA ALUM XADREZ 2X100  (2.00)MM";"KG";33.50;80.000;132.040
2003;"0112";15;"XML";"XML";"PORCA SEXT. 3/4";"UNID";1.66;2.734;38.000
2075;"0409";49;"XML";"XML";"ELETRODUTO PVC  25MM";"UNID";8.90;16.350;10.000
2094;"9999";0;"XML";"XML";"PONTA MONTADA A-37 ALCAR";"UNID";3.00;4.500;1.000
2095;"9999";0;"XML";"XML";"PONTA MONTADA B-133 ALCAR";"UNID";2.50;3.750;1.000
2103;"9999";0;"XML";"XML";"TESOURA USO GERAL 25CM VONDER";"PC";8.43;12.645;1.000
2113;"9999";0;"XML";"XML";".BICO CONTATO 0,8MM 253/255 VD";"PC";10.25;15.375;2.000
2114;"9999";0;"XML";"XML";"BICO CONTATO 0,8MM PLUS M8";"PC";5.28;11.460;26.000
2117;"9999";0;"XML";"XML";"LENTE RETANGULAR INCOLOR 108X51MM";"PC";2.82;4.230;5.000
2118;"0419";2;"XML";"XML";"LENTE RET VERDE 108X51 TON-10 VONDER";"PC";1.25;2.475;63.000
2123;"0224";260;"XML";"XML";"ANTI RESPINGO PASTA S/SILIC 350G VONDER";"KG";60.94;685.959;5.250
2130;"0550";31;"XML";"XML";"SUPORTE PARA RODA PG";"UNID";38.00;57.000;1.000
2140;"0323";53;"";"";"CAIXA DE P/ELETRICA 40X40X12 EMBUTIR";"UNID";32.92;95.980;35.000
2153;"0316";106;"";"";"TAMPA E SOBRE TAMPA 50 X 50";"UNID";82.93;400.000;0
2179;"0106";15;"XML";"XML";"PARAF.FRANCES 1/2X1.1/2 ZINC CISER";"UNID";3.28;3.452;24.000
2180;"0106";15;"XML";"XML";"PARAF.FRANCES 3/8X1 ZINC CISER";"UNID";1.12;1.121;16.000
2181;"0409";49;"XML";"XML";"DISJUNTOR TRIF 32A";"UNID";70.20;105.300;1.000
2188;"0225";5;"XML";"XML";"BROCA ACO RAP. 5/16";"UNID";5.91;64.245;5.000
2193;"0316";106;"";"";"TAMPA E SOBRE TAMPA 50 X 60";"UNID";131.49;430.000;3.000
2198;"0456";5;"XML";"XML";"CABO PP 2X1.50 1KVA";"MT";3.95;5.925;20.000
2201;"0106";614;"XML";"XML";"PARAF.SEXT.UNC ZINC 1/2X2 CISER";"UNID";1.93;1.927;62.000
2202;"0112";15;"XML";"XML";"PORCA SEXT. TRAVANTE 1/2 ZINC";"UNID";0.71;1.229;216.000
2203;"0106";614;"XML";"XML";"PARAF.ALLEN CAB.CIL.3/8X2 CISER";"UNID";2.88;2.880;2.000
2212;"0106";2;"XML";"XML";"PARAF.PHILLIPS A.CAB.PAN 4.8X38 CISER";"UNID";0.75;0.752;100.000
2213;"0112";497;"XML";"XML";"RODIZIO 4'' C/PLACA GIR C/FREIO";"PC";73.20;122.000;24.000
2218;"9999";0;"XML";"XML";"BITS PHILLIPS PH2-50MM B-26490 - MAKITA / UN";"UNID";2.94;4.500;1.000
2220;"9999";0;"XML";"XML";"CORREIA MV A 040";"UNID";12.00;18.000;1.000
2226;"0554";2;"XML";"XML";"FORNO 21L PANASONIC NN-ST254 BR 220V";"UNID";331.72;497.580;1.000
2233;"9999";0;"XML";"XML";"CABO FLEX 2X 1.50MM 1KV PT COBRECOM B04";"MT";3.70;5.550;6.000
2234;"0410";0;"XML";"XML";"CHAVE COMUTADORA C/CHAVE 2 POS XB2-BG21 CCA";"UNID";16.48;33.270;1.000
2237;"9999";0;"XML";"XML";"CHAVE FIM DE CURSO AXCK-P121 CCA";"UNID";81.24;83.340;2.000
2243;"9999";0;"XML";"XML";"ESCOVA DE CARVAO CB 204";"PC";20.00;46.470;2.000
2246;"9999";0;"XML";"XML";"DISJUNTOR TRIF 80A CURVA C EZC80 SCHNEID";"UNID";222.27;333.405;1.000
2253;"0232";402;"XML";"XML";"DISCO DE CORTE 7'' FINO 1,6";"UNID";3.89;87.315;532.000
2257;"0112";5;"XML";"XML";"ROLDANA V 75MM S/CAIXA";"UNID";21.99;30.200;2.000
2268;"0410";14;"XML";"XML";"REGULADOR C02 MD G30";"UNID";280.00;300.000;4.000
2294;"0112";22;"XML";"XML";"BUCHA NYLON D-08";"UNID";0.10;18.810;80.700
2295;"0409";0;"XML";"XML";"MARCADOR INDUSTRIAL";"UNID";10.62;17.520;5.000
2302;"0307";106;"";"";"CALHA PROJETADA";"UNID";12.67;31.960;1.000
2310;"0228";2;"XML";"XML";"DISCO FLAP 115 X 22,23 GR60";"UNID";9.00;12.000;1.000
2312;"0409";624;"XML";"XML";"CILINDRO OXIGENIO PAT CONTAINER";"UNID";2650.00;3975.000;1.000
2313;"9999";0;"XML";"XML";"CILINDRO DIOXIDO CARBONO PAT CONTAI";"UNID";2650.00;3975.000;8.000
2315;"0106";15;"XML";"XML";"PARAF.PHILLIPS A.A CAB.PAN.6,3X50";"UNID";0.48;0.483;150.000
2328;"0410";425;"XML";"XML";"PORTA BICO OT-406 (235/450) - PRETO";"PC";17.30;25.950;5.000
2337;"0228";53;"XML";"XML";"DISCO FLAP 4.1/2 G40 NORTON/ROCAST";"UNID";4.53;140.700;40.000
2338;"0550";497;"XML";"XML";"CHAVE PHILLIPS JG 10PC CRV VONDER";"JOGO";30.26;45.390;1.000
2339;"0550";244;"XML";"XML";"TORNO BANCADA NR6 FIXO NODULAR P MOTOMIL";"PC";213.06;319.590;1.000
